Date,Irradiance(MJ/m2)
2015/1/30,1.61
2015/1/31,14.73
2015/2/1,14.65
2015/2/2,14.78
2015/2/3,14.39
2015/2/4,13.3
2015/2/5,1.47
2015/2/6,13.42
2015/2/7,9.55
2015/2/8,3.52
2015/2/9,5.97
2015/2/10,14.81
2015/2/11,15.14
2015/2/12,14.1
2015/2/13,12.57
2015/2/14,16.45
2015/2/15,15.55
2015/2/16,16.12
2015/2/17,2.97
2015/2/18,2.17
2015/2/19,16.03
2015/2/20,15
2015/2/21,16.14
2015/2/22,3.92
2015/2/23,12.08
2015/2/24,6.07
2015/2/25,11.12
2015/2/26,1.71
2015/2/27,15.4
2015/2/28,17.51
2015/3/1,3.78
2015/3/2,19.17
2015/3/3,4.13
2015/3/4,14.18
2015/3/5,18.4
2015/3/6,9.58
2015/3/7,5.71
2015/3/8,3.16
2015/3/9,3.45
2015/3/10,8.45
2015/3/11,20.53
2015/3/12,20.19
2015/3/13,19.44
2015/3/14,13.38
2015/3/15,9.09
2015/3/16,11.12
2015/3/17,20
2015/3/18,13.67
2015/3/19,5.75
2015/3/20,9.39
2015/3/21,12.31
2015/3/22,19.39
2015/3/23,17.03
2015/3/24,22.2
2015/3/25,23.24
2015/3/26,23.25
2015/3/27,23.22
2015/3/28,19.28
2015/3/29,12.44
2015/3/30,22.05
2015/3/31,23.08
2015/4/1,5.52
2015/4/2,22.24
2015/4/3,5.62
2015/4/4,6.43
2015/4/5,3.5
2015/4/6,19.88
2015/4/7,2.69
2015/4/8,3.11
2015/4/9,21.56
2015/4/10,6.3
2015/4/11,8.15
2015/4/12,21
2015/4/13,2.35
2015/4/14,4.13
2015/4/15,22.13
2015/4/16,20.87
2015/4/17,17.08
2015/4/18,23.14
2015/4/19,6.87
2015/4/20,5.37
2015/4/21,6.54
2015/4/22,16.93
2015/4/23,24.93
2015/4/24,20.67
2015/4/25,18.33
2015/4/26,25.54
2015/4/27,25.33
2015/4/28,24.37
2015/4/29,19.2
2015/4/30,15.39
2015/5/1,26.34
2015/5/2,25.76
2015/5/3,22.65
2015/5/4,21.96
2015/5/5,18.91
2015/5/6,22.53
2015/5/7,12.03
2015/5/8,24.91
2015/5/9,6.25
2015/5/10,25.56
2015/5/11,27.82
2015/5/12,10.36
2015/5/13,27.03
2015/5/14,25.63
2015/5/15,22.97
2015/5/16,5.84
2015/5/17,25.82
2015/5/18,18.99
2015/5/19,5.99
2015/5/20,21.74
2015/5/21,26.04
2015/5/22,23.81
2015/5/23,23.4
2015/5/24,20.2
2015/5/25,19.66
2015/5/26,27.58
2015/5/27,26.77
2015/5/28,19.48
2015/5/29,5.01
2015/5/30,26.11
2015/5/31,26.8
2015/6/1,26.5
2015/6/2,21.77
2015/6/3,4.93
2015/6/4,26.76
2015/6/5,9.81
2015/6/6,15.54
2015/6/7,24.11
2015/6/8,17.4
2015/6/9,6.14
2015/6/10,22.65
2015/6/11,18.95
2015/6/12,7.44
2015/6/13,17.53
2015/6/14,11.82
2015/6/15,25.01
2015/6/16,11.71
2015/6/17,8.84
2015/6/18,10.13
2015/6/19,5.96
2015/6/20,24.73
2015/6/21,5.88
